"system_type","name","description","interconnected_parts"
"Exhaust System","Tailpipe","Final section of exhaust system","Muffler, Hangers, Exhaust Tip"
"Ignition System","Crankshaft Position Sensor","Monitors crankshaft rotation speed and position","Crankshaft, ECU, Timing Belt/Chain Area"
"Engine","Engine Block","Foundation of the engine housing cylinders","Cylinders, Crankshaft, Pistons, Coolant Passages, Oil Passages, Cylinder Head"
"Transmission System","Transfer Case (4WD/AWD)","Distributes power to front and rear axles","Transmission, Driveshafts (Front/Rear), Shift Mechanism/Motor"
"Braking System","Brake Booster","Uses vacuum or hydraulics to multiply brake force","Master Cylinder, Brake Pedal, Intake Manifold (Vacuum Source)"
"Fuel System","Intake Manifold","Distributes air (or air-fuel mixture)","Throttle Body, Cylinder Head, Fuel Injectors (port injection), Gaskets"
"Cooling System","Radiator Cap","Maintains pressure within the cooling system","Radiator Filler Neck, Coolant Reservoir"
"Suspension System","Strut Assembly","Combines shock absorber and coil spring","Coil Spring, Shock Absorber, Strut Mount, Steering Knuckle"
"Electrical System","Headlights","Illuminate the road ahead","Bulbs/LEDs, Housing, Wiring, Switches, Relays"
"Steering System","Steering Wheel","Input device used by driver","Steering Column, Airbag Module, Steering Angle Sensor, Switches"
"Engine","Valves","Control the flow of air/fuel and exhaust gases","Camshaft, Lifters/Tappets, Valve Springs, Cylinder Head"
"Transmission System","Axle Shaft","Transmits power from differential to wheels","Differential, CV Joints, Wheel Hub"
"Braking System","Parking Brake","Mechanical system to hold vehicle stationary","Lever/Pedal, Cables, Brake Calipers/Drums"
"Fuel System","Air Filter","Cleans air entering the engine","Air Intake Housing, Intake Tube, MAF Sensor, Throttle Body"
"Cooling System","Coolant Reservoir","Stores excess coolant","Radiator, Radiator Cap, Hoses"
"Suspension System","Wheel Hub Assembly","Mounts the wheel and houses the bearing","Steering Knuckle, Wheel Bearing, Wheel Studs, Brake Rotor/Drum"
"Electrical System","Wiper Motor","Powers the windshield wipers","Wiper Linkage, Wiper Arms, Wiper Blades, Switch, Wiring"
"Exhaust System","Exhaust Hanger","Supports the exhaust system","Exhaust Pipes/Muffler, Chassis Frame"
"Ignition System","Camshaft Position Sensor","Identifies camshaft position","Camshaft, ECU, Timing Cover Area"
"Engine","Oil Pan","Reservoir at the bottom of the engine for oil","Engine Block, Oil Pump, Drain Plug, Gasket"
"Transmission System","Transmission Control Module (TCM)","Computer controlling automatic transmissions","ECU, Valve Body Solenoids, Sensors (Speed, Temp), Shifter"
"Braking System","Wheel Speed Sensor","Monitors rotational speed of each wheel","Wheel Hub/Bearing, ABS Module, Wiring"
"Fuel System","Charcoal Canister","Part of evaporative emission control system","Fuel Tank, Purge Valve, Vent Valve, ECU"
"Cooling System","Radiator Hose","Flexible tube connecting radiator to engine","Radiator, Water Pump, Thermostat Housing, Engine Block"
"Suspension System","Leaf Spring","Stack of metal strips acting as a spring","Axle, Shackles, Hangers, Chassis Frame"
"Electrical System","Horn","Audible warning device","Switch (Steering Wheel), Relay, Wiring, Horn Assembly"
"Steering System","Steering Column","Connects steering wheel to steering gear/rack","Steering Wheel, Universal Joints, Ignition Switch Housing, Airbag Clockspring"
"Engine","Flywheel","Heavy disc attached to crankshaft","Crankshaft, Clutch Assembly, Starter Motor Ring Gear"
"Transmission System","CV Joint","Constant velocity joint for axle shafts","Axle Shaft, Wheel Hub, Differential Output"
"Braking System","Brake Drum","Rotating drum component (drum brakes)","Brake Shoes, Wheel Cylinder, Backing Plate, Wheel Hub"
"Fuel System","Fuel Pressure Regulator","Maintains correct fuel pressure","Fuel Rail, Fuel Pump, Return Line (sometimes), Vacuum Line (sometimes)"
"Cooling System","Temperature Sensor/Sender","Measures coolant temperature","Engine Block/Cylinder Head, ECU, Instrument Cluster Gauge, Wiring"
"Suspension System","Bushing","Isolates vibration and allows controlled movement","Control Arms, Sway Bar, Shock Mounts, Chassis"
"Electrical System","Tail Lights","Rear lights indicating presence, braking, turning","Bulbs/LEDs, Housing, Wiring, Brake Light Switch, Turn Signal Switch"
"Exhaust System","Resonator","Chamber in exhaust system modifying sound","Exhaust Pipe, Muffler"
"Ignition System","Spark Plug Wires","Transmit high voltage (older cars)","Distributor/Coil Pack, Spark Plugs"
"Engine","Oil Filter","Removes contaminants from engine oil","Engine Block, Oil Pump, Engine Oil"
"Transmission System","Shifter","Lever used by driver to select gears","Transmission/Transfer Case, Linkage/Cables"
"Braking System","Brake Shoes","Friction material (drum brakes)","Brake Drum, Wheel Cylinder, Backing Plate, Springs"
"Fuel System","Idle Air Control (IAC) Valve","Controls airflow for idle speed regulation","Throttle Body, ECU, Intake Manifold"
"Cooling System","Fan Clutch","Engages/disengages engine-driven fan","Water Pump Pulley, Cooling Fan, Radiator Temperature"
"Suspension System","Strut Mount","Mounts top of strut assembly to chassis","Strut Assembly, Chassis, Bearing (sometimes)"
"Electrical System","Body Control Module (BCM)","Computer controlling body electronics","Switches, Actuators, Sensors, Wiring Harness, Other ECUs"
"Steering System","Pitman Arm","Connects steering box to linkage","Steering Gearbox, Center Link/Drag Link"
"Engine","Head Gasket","Seals joint between cylinder head and block","Cylinder Head, Engine Block, Coolant Passages, Oil Passages, Cylinders"
"Transmission System","Transmission Mount","Secures transmission to chassis","Transmission Case, Chassis Frame/Crossmember"
"Braking System","Proportioning Valve","Regulates front/rear brake pressure","Master Cylinder, Brake Lines (Front/Rear)"
"Fuel System","Fuel Level Sender","Variable resistor indicating fuel level","Fuel Tank, Fuel Pump Assembly, Instrument Cluster Gauge"
"Cooling System","Coolant Temperature Gauge","Displays coolant temperature","Temperature Sensor/Sender, Instrument Cluster, Wiring"
"Suspension System","Wheel Bearing","Allows wheel to rotate smoothly","Wheel Hub, Steering Knuckle/Axle Housing"
"Electrical System","Turn Signal Flasher/Relay","Controls blinking rate of turn signals","Turn Signal Switch, Turn Signal Lights, Fuse Box"
"Exhaust System","Flex Pipe","Flexible section absorbing engine movement","Exhaust Manifold/Downpipe, Catalytic Converter/Exhaust Pipe"
"Engine","Connecting Rod","Connects piston to crankshaft","Piston, Crankshaft, Piston Pin, Bearings"
"Transmission System","Universal Joint (U-Joint)","Flexible joint in driveshaft/axle","Driveshaft, Axle Shaft, Yokes"
"Braking System","Wheel Cylinder","Hydraulic cylinder pushing brake shoes (drum brakes)","Brake Shoes, Brake Drum, Backing Plate, Brake Line"
"Fuel System","Purge Valve","Controls flow of fuel vapors from canister to engine","Charcoal Canister, Intake Manifold, ECU, Vacuum Lines"
"Cooling System","Heater Hose","Carries coolant to and from the heater core","Water Pump/Engine Block, Heater Core, Firewall"
"Suspension System","Sway Bar Link","Connects sway bar to control arm/strut","Sway Bar, Control Arm/Strut, Bushings"
"Electrical System","Relay","Electrically operated switch for high-current circuits","Fuse Box, ECU, Actuators (Fuel Pump, Fan, etc.), Wiring"
"Steering System","Steering Gearbox","Mechanism converting steering wheel rotation (trucks/older cars)","Steering Column, Pitman Arm, Input/Output Shafts, Frame"
"Ignition System","Ignition Module","Controls ignition coil firing (older electronic systems)","Distributor, Ignition Coil, ECU, Wiring"
"Engine","Valve Cover Gasket","Seals the valve cover to the cylinder head","Valve Cover, Cylinder Head"
"Transmission System","Manual Transmission Fluid (MTF)","Lubricant for manual gearboxes","Gearbox Case, Gears, Synchros, Bearings"
"Braking System","Brake Line","Rigid tube carrying brake fluid","Master Cylinder, ABS Module, Calipers/Wheel Cylinders, Hoses"
"Fuel System","Throttle Position Sensor (TPS)","Monitors throttle plate angle","Throttle Body, ECU, Wiring"
"Cooling System","Fan Shroud","Directs airflow through the radiator","Radiator, Cooling Fan"
"Suspension System","Bump Stop","Rubber/urethane cushion preventing metal-on-metal contact","Chassis Frame, Control Arm/Axle"
"Electrical System","Instrument Cluster","Housing for gauges and warning lights","Gauges (Speedo, Tach, Fuel, Temp), Warning Lights, Wiring, ECU/BCM"
"Exhaust System","Exhaust Gasket","Seals connections within the exhaust system","Exhaust Manifold, Pipes, Catalytic Converter, Muffler"
"Steering System","Power Steering Fluid Reservoir","Holds power steering fluid supply","Power Steering Pump, Hoses"
"Engine","Oil Pump","Circulates engine oil under pressure","Oil Pan, Engine Block, Crankshaft/Camshaft (driven by)"
"Transmission System","Synchromesh Assembly","Mechanism aiding smooth gear changes (manual)","Gears, Shift Fork, Hub, Sleeve, Blocking Ring"
"Braking System","Brake Hose","Flexible hose connecting rigid lines to calipers/cylinders","Brake Line, Caliper/Wheel Cylinder"
"Fuel System","Gas Cap","Seals the fuel filler neck","Fuel Filler Neck, Fuel Tank, EVAP System"
"Cooling System","Block Heater","Electric heater warming engine block in cold climates","Engine Block Coolant Passage, Electrical Cord"
"Suspension System","Alignment Shims/Cams","Used to adjust wheel alignment angles","Control Arms, Chassis Mounts"
"Electrical System","Ground Strap/Wire","Ensures proper electrical connection to chassis/engine","Battery Negative Terminal, Chassis, Engine Block"
"Safety System","Airbag Module (SRS Module)","Computer controlling airbag deployment","Crash Sensors, Airbags, Seat Belt Pretensioners, Warning Light"
"Body/Chassis","Frame","Structural backbone of the vehicle (body-on-frame)","Body Mounts, Suspension Components, Engine/Transmission Mounts"
"Interior","Dashboard","Panel housing instrument cluster, controls, vents","Instrument Cluster, HVAC Controls, Radio, Air Vents, Trim Panels"
"Engine","Turbocharger","Compressor forcing more air into the engine, driven by exhaust gas","Exhaust Manifold, Intake Manifold, Intercooler, Oil/Coolant Lines"
"Transmission System","Planetary Gear Set","Gear system used in automatic transmissions","Sun Gear, Planet Gears, Ring Gear, Carrier"
"Braking System","Backing Plate","Mounting surface for drum brake components","Axle Housing/Steering Knuckle, Brake Shoes, Wheel Cylinder, Springs"
"Fuel System","Vent Valve","Controls venting of fuel tank vapors (EVAP system)","Charcoal Canister, Fuel Tank, ECU"
"Cooling System","Heater Control Valve","Regulates coolant flow to the heater core","Heater Hoses, HVAC Controls"
"Suspension System","Jounce Bumper","Alternative name for Bump Stop","Chassis Frame, Control Arm/Axle"
"Electrical System","Voltage Regulator","Controls alternator output voltage","Alternator, Battery, ECU (sometimes integrated)"
"Steering System","Power Steering Fluid","Hydraulic fluid used in power steering systems","Pump, Reservoir, Rack/Gearbox, Hoses"
"Ignition System","Knock Sensor","Detects engine knock/detonation","Engine Block, ECU, Wiring"
"Engine","Harmonic Balancer","Dampens crankshaft vibrations; drives accessory belts","Crankshaft, Serpentine/V-Belts"
"Transmission System","Clutch Master Cylinder","Generates hydraulic pressure for clutch actuation (manual)","Clutch Pedal, Reservoir, Hydraulic Line, Slave Cylinder"
"Braking System","Brake Light Switch","Activates brake lights when pedal is pressed","Brake Pedal Assembly, Wiring, Brake Lights"
"Fuel System","Manifold Absolute Pressure (MAP) Sensor","Measures pressure in the intake manifold","Intake Manifold, ECU, Wiring"
"Cooling System","Radiator Drain Petcock","Valve for draining coolant from radiator","Radiator Lower Tank"
"Suspension System","Torsion Bar","Spring device using twisting force (some trucks/SUVs)","Control Arms, Chassis Frame, Adjustment Key"
"Electrical System","Wiper Blade","Rubber element clearing windshield","Wiper Arm, Windshield"
"Safety System","Crash Sensor","Detects impact forces to trigger safety systems","Chassis Frame/Body Structure, SRS Module, Wiring"
"Body/Chassis","Unibody","Structure where body and frame are one piece","Body Panels, Suspension Mounting Points, Subframes"
"Interior","Seat Belt","Restraint system holding occupant in seat","Retractor, Buckle, Webbing, Anchor Points, Pretensioner"
"Engine","Supercharger","Compressor forcing more air into engine, driven by belt","Crankshaft Pulley, Belt, Intake Manifold, Bypass Valve"
"Transmission System","Valve Body","Hydraulic control center of automatic transmission","Solenoids, Valves, ATF Passages, Transmission Case, TCM"
"Braking System","ABS Hydraulic Modulator","Controls individual brake pressures via valves/pump","ABS Module, Master Cylinder, Brake Lines, Wheel Speed Sensors"
"Fuel System","Fuel Rail","Distributes fuel to injectors","Fuel Line, Injectors, Pressure Sensor/Regulator"
"Cooling System","Intercooler","Cools compressed air from turbo/supercharger","Turbo/Supercharger Outlet, Intake Manifold Inlet, Hoses/Pipes"
"Suspension System","Camber/Caster Plate","Adjustable mount for top of strut","Strut Mount, Chassis"
"Electrical System","OBD-II Port","On-Board Diagnostics connector for scan tools","ECU/BCM Network, Wiring, Dashboard Area"
"Steering System","Steering Angle Sensor","Measures steering wheel position/rate","Steering Column, ECU/ESP Module, Wiring"
"Exhaust System","Diesel Particulate Filter (DPF)","Traps soot from diesel exhaust","Exhaust Pipe (post-turbo), Differential Pressure Sensor, ECU"
"Engine","EGR Valve (Exhaust Gas Recirculation)","Recirculates exhaust gas to intake to reduce NOx","Exhaust Manifold, Intake Manifold, ECU, EGR Cooler (sometimes)"
"Transmission System","Clutch Slave Cylinder","Actuated by hydraulic pressure to move clutch fork (manual)","Hydraulic Line, Clutch Master Cylinder, Clutch Fork/Release Bearing"
"Braking System","Parking Brake Cable","Transmits force from lever/pedal to brakes","Parking Brake Lever/Pedal, Equalizer, Rear Brakes"
"Fuel System","Fuel Filler Neck","Tube connecting gas cap to fuel tank","Gas Cap, Fuel Tank"
"Cooling System","Thermostat Housing","Connects radiator hoses and houses thermostat","Engine Block/Head, Radiator Hoses, Thermostat"
"Suspension System","Radius Arm","Locates axle fore/aft (some suspension types)","Axle Housing, Chassis Frame, Bushings"
"Electrical System","Window Motor","Electric motor raising/lowering window","Window Regulator, Switch, Wiring, Door Module (sometimes)"
"Safety System","Seat Belt Pretensioner","Tightens seat belt during collision","Seat Belt Retractor/Buckle, Crash Sensor, SRS Module"
"Body/Chassis","Subframe","Separate structure mounting engine/suspension (unibody)","Unibody Structure, Engine Mounts, Suspension Arms"
"Interior","Instrument Cluster Gauge","Displays specific vehicle information (speed, RPM, fuel, temp)","Sensors, ECU/BCM, Instrument Cluster Circuit Board"
"Engine","PCV Valve (Positive Crankcase Ventilation)","Routes crankcase vapors into intake manifold","Valve Cover/Crankcase, Intake Manifold, Hoses"
"Transmission System","Shift Solenoid","Electro-hydraulic valve controlling gear shifts (auto)","Valve Body, TCM, ATF"
"Braking System","Brake Bleeder Screw","Allows air/old fluid to be purged from system","Brake Caliper/Wheel Cylinder"
"Fuel System","Secondary Air Injection System","Pumps fresh air into exhaust to aid catalyst warmup","Air Pump, Valves, Hoses, Exhaust Manifold/Head Port, ECU"
"Cooling System","EGR Cooler","Cools exhaust gas before recirculation","EGR Valve, Coolant Hoses, Exhaust Pipe"
"Suspension System","Panhard Rod / Track Bar","Lateral locating link for solid axles","Axle Housing, Chassis Frame, Bushings"
"Electrical System","Door Lock Actuator","Electric motor locking/unlocking door","Door Latch Mechanism, Switch/BCM, Wiring"
"Steering System","Idler Arm","Pivot support for steering linkage (steering box systems)","Center Link, Frame, Bearing"
"Exhaust System","Exhaust Fluid Injector (DEF)","Injects Diesel Exhaust Fluid into exhaust","DEF Tank, Pump Module, SCR Catalyst, ECU"
"Engine","Glow Plug (Diesel)","Heats combustion chamber for cold starts","ECU/Glow Plug Controller, Battery, Cylinder Head"
"Transmission System","Transmission Fluid Pan","Reservoir at bottom of automatic transmission","Transmission Case, Gasket, Filter, Drain Plug"
"Braking System","ABS Pump Motor","Provides hydraulic pressure for ABS modulation","ABS Hydraulic Modulator, ABS Module"
"Fuel System","Fuel Pump Module Assembly","Integrated unit including pump, sender, filter (often)","Fuel Tank, Wiring Connector, Fuel Lines"
"Cooling System","Radiator Support","Structural member holding radiator","Chassis Frame, Radiator, Condenser, Headlights"
"Suspension System","Air Spring","Uses compressed air to support vehicle weight (air suspension)","Air Compressor, Reservoir, Control Module, Height Sensors, Solenoids"
"Electrical System","Ignition Switch","Activates electrical systems and starter circuit","Steering Column/Dashboard, Battery, Starter Solenoid, ECU/BCM"
"Safety System","Occupant Classification System Sensor","Detects passenger presence/weight for airbag control","Passenger Seat, SRS Module, Wiring"
"Body/Chassis","Bumper Cover","Outer plastic fascia of bumper system","Bumper Reinforcement Bar, Grilles, Fog Lights"
"Interior","HVAC Control Panel/Module","User interface for heating and air conditioning","Actuators, Blower Module, Sensors, ECU/BCM"
"Engine","Valve Lifter / Tappet","Component between camshaft and valve/pushrod","Camshaft Lobe, Valve Stem/Pushrod, Cylinder Head"
"Transmission System","Differential Cover","Seals rear of differential housing; allows fluid access","Differential Housing, Gasket, Bolts, Ring Gear"
"Braking System","Parking Brake Shoe","Smaller shoe inside rear rotor hat (disc/drum combo)","Rear Brake Rotor, Actuating Lever/Cable, Backing Plate"
"Fuel System","Fuel Tank Strap","Secures fuel tank to vehicle underbody","Fuel Tank, Chassis Frame/Underbody"
"Cooling System","Water Outlet Housing","Alternative name for Thermostat Housing","Engine Block/Head, Radiator Hoses, Thermostat"
"Suspension System","Height Sensor (Air/Electronic Suspension)","Measures suspension height for leveling system","Chassis Frame, Control Arm/Axle, Control Module"
"Electrical System","Alternator Pulley","Driven by belt to spin alternator rotor","Alternator Shaft, Serpentine/V-Belt"
"Steering System","Center Link / Drag Link","Connects Pitman/Idler arms to tie rods (steering box)","Pitman Arm, Idler Arm, Tie Rod Ends"
"Exhaust System","Selective Catalytic Reduction (SCR) Catalyst","Reduces NOx using DEF (Diesel)","DPF Outlet, Exhaust Pipe, DEF Injector, Temp/NOx Sensors"
"Engine","Intake Manifold Gasket","Seals intake manifold to cylinder head","Intake Manifold, Cylinder Head Ports"
"Transmission System","Flexplate","Connects crankshaft to torque converter (automatic)","Crankshaft, Torque Converter, Starter Ring Gear"
"Braking System","Residual Pressure Valve","Maintains slight pressure in brake lines (drum brakes)","Master Cylinder Outlet Port or In-Line"
"Fuel System","Fuel Cooler","Cools fuel returning to tank (some diesel/GDI)","Fuel Return Line, Cooling Fins/Heat Exchanger"
"Cooling System","Radiator Petcock Washer/Seal","Seal for radiator drain plug","Radiator Drain Petcock"
"Suspension System","Shock/Strut Dust Boot","Protects shock absorber shaft from debris","Shock Absorber/Strut Body, Shaft"
"Electrical System","Battery Cable","Heavy gauge wire connecting battery","Battery Terminals, Starter Motor, Alternator, Ground Points, Fuse Box"
"Safety System","Airbag Clockspring","Maintains electrical connection to steering wheel components","Steering Wheel, Airbag, Horn, Switches, Steering Column"
"Body/Chassis","Door Hinge","Pivot mechanism allowing door to open/close","Door, Body Pillar (A/B/C), Pins, Bushings"
"Interior","Center Console","Storage and control area between front seats","Shifter, Parking Brake Lever, Cupholders, Storage Bin, Armrest, Switches"
"Engine","Oil Cooler","Heat exchanger cooling engine oil","Engine Block/Oil Filter Housing, Coolant Hoses or Airflow"
"Transmission System","Transmission Filter","Filters contaminants from transmission fluid (auto)","Valve Body/Transmission Pan, Transmission Fluid"
"Braking System","Brake Caliper Bracket","Mounts brake caliper to steering knuckle/axle","Steering Knuckle/Axle Housing, Brake Caliper, Bolts"
"Fuel System","Fuel Tank Vent Valve","Allows air into tank as fuel is consumed","Fuel Tank, Charcoal Canister Line"
"Cooling System","Bypass Hose","Short hose allowing coolant circulation before thermostat opens","Thermostat Housing, Water Pump/Engine Block"
"Suspension System","Axle Housing","Encloses differential and axle shafts (solid axle)","Differential, Axle Shafts, Suspension Mounts (Leaf Springs, Control Arms)"
"Electrical System","Starter Solenoid","Electromagnet engaging starter drive and closing high-current contacts","Starter Motor, Ignition Switch Signal, Battery Cable"
"Steering System","Intermediate Steering Shaft","Connects steering column to steering rack/gearbox","Steering Column, Steering Rack/Gearbox, Universal Joints"
"Exhaust System","Differential Pressure Sensor (DPF)","Measures pressure difference across DPF","DPF Inlet/Outlet Tubes, ECU, Wiring"
"Engine","Valve Spring","Closes valve after being opened by camshaft","Valve Stem, Retainer, Keeper, Cylinder Head"
"Transmission System","Output Shaft Speed Sensor","Measures rotation speed of transmission output shaft","Transmission Case, TCM/ECU, Wiring"
"Braking System","Brake Caliper Piston","Pushed by hydraulic fluid to apply brake pads","Brake Caliper Bore, Brake Fluid, Brake Pads"
"Fuel System","Fuel Pump Relay","Switches power to the fuel pump","Fuse Box, ECU, Fuel Pump, Wiring"
"Cooling System","Fan Control Module/Relay","Controls operation of electric cooling fan(s)","ECU, Cooling Fan Motor, Temperature Sensor, Wiring"
"Suspension System","Trailing Arm","Locates axle fore/aft, resists torque (some rear suspensions)","Axle Housing, Chassis Frame, Bushings"
"Electrical System","Headlight Switch","Controls operation of headlights and parking lights","Steering Column/Dashboard, BCM/Relays, Wiring"
"Safety System","Seat Belt Buckle Switch","Detects if seat belt is fastened","Seat Belt Buckle, Wiring, Instrument Cluster/SRS Module"
"Body/Chassis","Hood Latch","Mechanism securing hood closed","Hood, Radiator Support/Core Support, Release Cable"
"Interior","Glove Box","Storage compartment in dashboard","Dashboard, Latch, Hinge, Light (sometimes)"
"Engine","Crankshaft Main Bearing","Supports the rotating crankshaft","Engine Block, Crankshaft Main Journals, Bearing Caps"
"Transmission System","Input Shaft Speed Sensor","Measures rotation speed of transmission input shaft","Transmission Case/Bell Housing, TCM/ECU, Wiring"
