"scenario_type","symptoms","possible_causes","contextual_advice"
"Warning Light","Oil pressure light on","Low oil level/pressure","Stop engine immediately, check oil"
"AC/Heat Issues","AC blows warm air","Low refrigerant level","Check AC system for leaks"
"Unusual Smell","Musty smell from vents","Mold in HVAC system","Run AC with fan high, consider HVAC cleaning"
"Brake Issues","Brake pedal pulsating","Warped brake rotors","Have rotors inspected/replaced"
"Loss of Power","Car jerks during acceleration","Dirty fuel injectors","Use fuel injector cleaner, consult mechanic"
"Car Won’t Start","Clicking sound, no crank","Weak battery/bad connection","Check battery terminals, try jump start"
"Vibration","Vibration increases with speed","Unbalanced tires/driveshaft","Balance tires, inspect driveshaft"
"Leaking Fluid","Green puddle under car","Coolant leak (Antifreeze)","Identify source (hose, radiator, water pump)"
"Warning Light","Check Engine Light flashing","Severe misfire detected","Stop driving immediately, get diagnostic scan"
"Strange Noise","Whining noise that changes with engine speed","Failing alternator bearing","Test alternator output"
"Poor Fuel Economy","Black smoke from exhaust","Engine running rich (too much fuel)","Check O2 sensor, MAF sensor"
"Overheating","Temperature gauge in red zone","Cooling system failure","Pull over safely, turn off engine, call for assistance"
"Steering Issues","Groaning noise when turning wheel","Low power steering fluid","Check power steering fluid level/leaks"
"Electrical Issues","Interior lights flicker","Loose battery connection/ground","Check battery cables and ground straps"
"Transmission Issues","Transmission slipping between gears","Worn clutch packs/bands","Consult transmission specialist"
"Brake Issues","Squealing noise stops when brakes applied","Brake pad wear indicator","Schedule brake inspection soon"
"Unusual Smell","Rotten egg smell from exhaust","Failing catalytic converter","Get diagnostic scan, potential replacement needed"
"Loss of Power","Engine misfires","Worn spark plugs/wires","Inspect/replace ignition components"
"Car Won’t Start","Engine turns over slowly","Weak battery/high starter draw","Test battery and starter motor"
"Vibration","Rhythmic vibration at certain speeds","Flat spot on tire","Inspect tires for damage/wear"
"Leaking Fluid","Reddish fluid under transmission area","Transmission fluid leak","Check transmission pan gasket, lines, seals"
"Warning Light","Tire Pressure Monitoring System (TPMS) light on","Low tire pressure/sensor fault","Check tire pressures, reset system/check sensors"
"Strange Noise","Clicking noise when turning","Worn CV joint","Inspect CV axles, avoid sharp turns"
"Poor Fuel Economy","Noticeable decrease in MPG","Needs tune-up (filters, plugs)","Perform routine maintenance"
"AC/Heat Issues","Heater blows cold air","Low coolant level/bad thermostat","Check coolant level, thermostat operation"
"Electrical Issues","Power windows slow or not working","Faulty window motor/regulator","Check fuses, switches, motor"
"Transmission Issues","Harsh shifting","Low/dirty transmission fluid","Check fluid condition, consider fluid change"
"Brake Issues","Brake pedal goes to floor after stopping","Failing master cylinder","Do not drive, have master cylinder replaced"
"Unusual Smell","Gasoline smell, especially after filling","Leaking fuel filler neck/EVAP system","Inspect fuel cap seal, EVAP hoses"
"Loss of Power","Turbocharger not boosting","Boost leak/faulty wastegate","Inspect turbo hoses, check wastegate function"
"Car Won’t Start","Security light flashing, no crank","Anti-theft system activated","Try resetting system, check key fob battery"
"Vibration","Vibration felt in seat, not steering wheel","Rear tire imbalance/driveshaft issue","Balance rear tires, inspect driveshaft/U-joints"
"Leaking Fluid","Clear water puddle (especially with AC on)","Normal AC condensation","Usually no concern unless excessive"
"Warning Light","Airbag/SRS light on","Fault in supplemental restraint system","Have system scanned by qualified mechanic"
"Strange Noise","Humming noise increases with speed","Worn wheel bearing","Inspect wheel bearings for play/noise"
"Overheating","Coolant boiling in reservoir","Faulty radiator cap/head gasket issue","Replace cap, check for signs of head gasket failure"
"Steering Issues","Steering wheel off-center","Wheel alignment needed","Get a wheel alignment"
"Electrical Issues","Radio cuts out intermittently","Loose wiring/faulty head unit","Check radio connections, consider replacement"
"Transmission Issues","Car won't move in any gear","Low fluid/major internal failure","Check fluid, likely needs professional diagnosis"
"Brake Issues","Grinding noise when braking","Severely worn pads/rotors (metal on metal)","Stop driving immediately, replace brakes"
"Unusual Smell","Electrical burning smell","Short circuit/overheating component","Check fuses, inspect wiring, avoid driving"
"Loss of Power","Feels like brakes are dragging","Sticking brake caliper/parking brake","Inspect calipers for free movement, check parking brake cable"
"Car Won’t Start","Engine cranks fast, won't start","Timing belt/chain broken","Requires major engine repair"
"Vibration","Shudder during acceleration (FWD)","Worn inner CV joint","Inspect inner CV joints"
"Leaking Fluid","Dark brown/black drips under engine","Engine oil leak","Identify source (valve cover, oil pan, seals)"
"Warning Light","Low Washer Fluid light","Washer fluid reservoir empty","Refill washer fluid reservoir"
"Strange Noise","Popping noise from exhaust on deceleration","Exhaust leak/rich fuel mixture","Inspect exhaust system, check fuel trim data"
"Poor Fuel Economy","Engine idles roughly","Vacuum leak/dirty throttle body","Check vacuum hoses, clean throttle body"
"AC/Heat Issues","Uneven heating/cooling in cabin","Blend door actuator failure","Diagnose HVAC blend door actuators"
"Electrical Issues","One headlight/taillight out","Burned out bulb","Replace bulb, check socket/wiring if persists"
"Transmission Issues","Clutch pedal feels soft/spongy (manual)","Air in hydraulic clutch system/leak","Bleed clutch system, inspect lines/cylinders"
"Brake Issues","ABS activates unnecessarily on dry pavement","Faulty wheel speed sensor/ABS module","Scan ABS system for codes"
"Unusual Smell","Maple syrup smell inside cabin","Heater core leak","Inspect heater core, check coolant level"
"Loss of Power","Engine 'pings' or knocks under load","Incorrect ignition timing/low octane fuel","Use higher octane fuel, check timing/knock sensor"
"Car Won’t Start","Key won't turn in ignition","Worn key/ignition lock cylinder","Try spare key, lubricate cylinder, may need replacement"
"Vibration","Steering wheel shimmies during light braking","Warped front brake rotors","Inspect/replace front brake rotors"
"Leaking Fluid","Power steering fluid leak","Leaking hose, pump seal, or rack seal","Identify leak source, repair as needed"
"Warning Light","Overdrive (O/D) light flashing","Transmission fault detected","Scan transmission control module for codes"
"Strange Noise","Creaking/groaning over bumps","Worn suspension bushings/ball joints","Inspect suspension components"
"Overheating","Engine overheats only in traffic/at idle","Faulty cooling fan/fan clutch","Check fan operation"
"Steering Issues","Difficult to turn steering wheel (manual or power)","Low power steering fluid/failing pump/binding linkage","Check fluid, inspect pump and linkage"
"Electrical Issues","Battery drains overnight","Parasitic draw (component staying on)","Perform parasitic draw test to isolate circuit"
"Transmission Issues","Grinding noise when shifting (manual)","Worn synchronizers/clutch not disengaging","Check clutch hydraulics, may need transmission repair"
"Brake Issues","Brake warning light stays on","Low brake fluid/parking brake engaged/ABS fault","Check fluid, parking brake switch, scan ABS"
"Unusual Smell","Damp/mildew smell in car","Water leak into cabin (seals, sunroof drain)","Find and repair water leak, dry interior"
"Loss of Power","Car hesitates when cold","Faulty temperature sensor/IAC valve","Check sensor readings, clean/test IAC valve"
"Car Won’t Start","No crank, battery is good","Faulty starter solenoid/neutral safety switch","Test solenoid and neutral safety switch circuit"
"Vibration","Engine shakes excessively at idle","Misfire/vacuum leak/bad motor mount","Scan for codes, check mounts, check vacuum"
"Leaking Fluid","Differential fluid leak","Leaking pinion seal/axle seal/cover gasket","Identify leak source, check fluid level"
"Warning Light","ESP/Traction Control light on","System deactivated or fault detected","Check for stored codes, ensure system is turned on"
"Strange Noise","Rattling noise inside door panel","Loose window regulator/speaker/clip","Remove door panel and secure loose parts"
"Poor Fuel Economy","Tires wearing unevenly","Wheel alignment issue","Get a wheel alignment, rotate tires"
"AC/Heat Issues","Blower motor only works on high speed","Failed blower motor resistor","Replace blower motor resistor"
"Electrical Issues","Dashboard lights dim/flicker","Faulty voltage regulator (often part of alternator)","Test charging system voltage"
"Transmission Issues","Whirring noise in neutral (manual)","Worn input shaft bearing","Requires transmission inspection/repair"
"Brake Issues","Pulling to one side during braking","Sticking caliper/collapsed brake hose","Inspect calipers and hoses"
"Unusual Smell","Oil smell inside cabin","Valve cover gasket leak dripping on exhaust","Inspect valve cover gasket"
"Loss of Power","Engine cuts out intermittently","Faulty crankshaft/camshaft sensor","Check sensor connections, scan for codes"
"Car Won’t Start","Remote key fob doesn't unlock doors","Dead key fob battery/fob issue","Replace key fob battery, try spare fob"
"Vibration","Buzzing noise from fuel tank area","Failing fuel pump","Monitor fuel pressure, prepare for replacement"
"Leaking Fluid","Oily film on inside of windshield","Leaking heater core","Confirm coolant loss, replace heater core"
"Warning Light","Check Engine Light after refueling","Loose/faulty gas cap","Tighten gas cap, check seal, may need replacement"
"Strange Noise","Thumping noise from rear, especially over bumps","Loose shock/strut mount","Inspect rear suspension mounts"
"Overheating","Losing coolant with no visible leaks","Internal leak (head gasket, cracked block)","Perform cooling system pressure test, check oil for coolant"
"Steering Issues","Clicking noise from steering column","Faulty clockspring (airbag spiral cable)","Replace clockspring, check airbag system"
"Electrical Issues","Intermittent electrical problems (multiple systems)","Bad ground connection","Clean and tighten main chassis/engine grounds"
"Transmission Issues","Car shudders at specific speeds (automatic)","Torque converter clutch issue","Scan TCM for codes, may need torque converter service/replacement"
"Brake Issues","Parking brake won't hold","Needs adjustment/worn parking brake shoes","Adjust parking brake cable, inspect shoes/mechanism"
"Unusual Smell","Exhaust fumes inside cabin","Exhaust leak before muffler","Inspect exhaust system for leaks, ventilate cabin"
"Loss of Power","Engine bogs down when AC is turned on","Low idle speed/engine weak/AC compressor dragging","Check idle speed, engine performance, AC compressor clutch"
"Car Won’t Start","Gas gauge reads empty, tank is full","Faulty fuel level sending unit","Test sending unit circuit, may need replacement"
"Vibration","Vehicle hops/skips around corners","Locked differential/transfer case issue (4WD/AWD)","Check 4WD system engagement/fluid"
"Leaking Fluid","Windshield washer fluid won't spray","Low fluid/clogged nozzle/bad pump","Check fluid, clean nozzles, test pump motor"
"Warning Light","Glow plug light stays on/flashes (Diesel)","Glow plug system fault","Scan engine module for codes, test glow plugs/relay"
"Strange Noise","Metallic scraping noise from wheel area","Object stuck in brake shield/worn wheel bearing","Inspect brake shield, check wheel bearing"
"Poor Fuel Economy","Car feels 'heavy' or sluggish","Dragging brakes/underinflated tires","Check tire pressure, inspect brakes for drag"
"AC/Heat Issues","Mode selector (defrost/vent/floor) not working","Vacuum leak/blend door actuator failure","Check HVAC vacuum lines (if applicable), test actuators"
"Electrical Issues","Cruise control not working","Faulty brake light switch/speed sensor/switch","Check brake lights, scan for codes, test switches"
"Transmission Issues","Cannot shift out of Park","Faulty brake light switch/shift interlock solenoid","Check brake lights, test interlock system"
"Brake Issues","Brake pedal hard to press","Failing brake booster/vacuum leak","Check booster vacuum hose, test booster"
"Unusual Smell","Fishy smell inside cabin (electrical related)","Overheating electrical component/connector","Carefully inspect wiring/fuse box for melting"
"Loss of Power","Intermittent stalling","Faulty fuel pump/ignition module","Monitor fuel pressure, check ignition components"
"Car Won’t Start","Engine floods easily (smells like gas)","Leaking fuel injector/bad fuel pressure regulator","Check injector function, test regulator"
"Vibration","Vibration felt through clutch pedal (manual)","Worn pilot bearing/release bearing","Inspect clutch components during replacement"
"Leaking Fluid","Oil leak from top of engine","Valve cover gasket/cam seals leak","Clean engine, identify leak source"
"Warning Light","Door Ajar light stays on","Faulty door switch/latch","Test door switches, lubricate/adjust latches"
"Strange Noise","Squeaking noise from engine bay","Worn serpentine belt/tensioner/pulley bearing","Inspect belt condition, listen to pulleys"
"Overheating","Electric cooling fan runs constantly","Faulty temperature sensor/fan relay stuck on","Check sensor readings, test fan relay"
"Steering Issues","Memory steer (doesn't return to center easily)","Binding steering gear/suspension component","Inspect steering linkage, check alignment/caster"
"Electrical Issues","Power locks cycle repeatedly","Faulty lock actuator/switch/wiring short","Isolate affected door, test components"
"Transmission Issues","Fluid smells burnt","Overheated transmission fluid/internal wear","Check fluid condition, consider service/diagnosis"
"Brake Issues","Uneven brake pad wear","Sticking caliper pins/piston","Lubricate caliper pins, inspect piston"
"Unusual Smell","Burning oil smell","Oil leak dripping on hot exhaust manifold","Locate and repair oil leak"
"Loss of Power","Reduced power after driving through water","Water ingested into air intake/electrical issue","Check air filter, inspect electrical connectors"
"Car Won’t Start","Starter spins but doesn't engage engine","Faulty starter drive (Bendix)/damaged flywheel teeth","Replace starter drive, inspect flywheel"
"Vibration","Steering wheel vibrates only when turning","Worn outer CV joint/power steering issue","Inspect CV joints, check power steering system"
"Leaking Fluid","Fluid leak only when engine is running","Pressurized leak (coolant hose, oil pressure line, power steering)","Identify fluid type and locate leak while running (use caution)"
"Warning Light","Oil level light on (if equipped)","Low engine oil level","Check engine oil level, top up if needed"
"Strange Noise","Ticking noise from engine, worse when cold","Hydraulic lifter noise/exhaust leak","Check oil level, listen for exhaust leak near manifold"
"Poor Fuel Economy","Rough idle after battery disconnect","ECU needs to relearn idle trim","Drive vehicle normally for ECU to adapt"
"AC/Heat Issues","AC compressor cycles on/off rapidly","Low refrigerant charge/faulty pressure switch","Check system pressures, test switches"
"Electrical Issues","Dome light won't turn off","Faulty door switch/light switch stuck on","Check door switches, test dome light switch"
"Transmission Issues","Slips when cold, improves when warm","Internal seals shrinking/low fluid","Check fluid level, may indicate internal wear"
"Brake Issues","Scraping noise without applying brakes","Worn wheel bearing/object contacting rotor","Inspect wheel bearing and brake area"
"Unusual Smell","Moldy/dirty sock smell from AC","Bacteria buildup on evaporator core","Use AC evaporator cleaner treatment"
"Loss of Power","Engine seems to 'hit a wall' at high RPM","Fuel delivery issue/restricted exhaust","Check fuel pressure, inspect exhaust for blockage"
"Car Won’t Start","Immobilizer issue (key not recognized)","Faulty key transponder/immobilizer module","Try spare key, may need dealer reprogramming"
"Vibration","Clunk when shifting into Drive or Reverse","Worn U-joint/transmission mount/differential mount","Inspect driveshaft U-joints and mounts"
"Leaking Fluid","Fuel leak from under vehicle","Leaking fuel line/filter/tank","Serious fire hazard - Do not drive, repair immediately"
"Warning Light","Low coolant level light","Coolant level below sensor","Check coolant level in reservoir/radiator, check for leaks"
"Strange Noise","Rumbling noise from rear, changes with speed","Worn differential bearings/wheel bearing","Isolate noise source (differential vs wheel bearing)"
"Overheating","Temperature fluctuates wildly","Air pocket in cooling system/faulty sensor","Bleed cooling system, test temperature sensor"
"Steering Issues","Popping noise when turning wheel at low speed","Worn strut mount bearing/ball joint","Inspect strut mounts and ball joints"
"Electrical Issues","Wipers stop mid-sweep","Faulty wiper motor park switch/linkage binding","Test motor/park switch, check linkage movement"
"Transmission Issues","Transmission fluid foamy or milky","Water contamination/overfilled","Drain fluid, identify contamination source, refill correctly"
"Brake Issues","Loud clunk when brakes first applied","Shifting brake pads/loose caliper hardware","Inspect pad movement, tighten caliper bolts"
"Unusual Smell","Chlorine-like smell (often AC related)","Refrigerant leak (uncommon, but possible)","Have AC system professionally checked for leaks"
"Loss of Power","Noticeable power loss at high altitudes","Engine compensating for thinner air (normal)","No action needed unless excessive or check engine light"
"Car Won’t Start","Engine starts then immediately stalls","Fuel delivery issue/vacuum leak/security system","Check fuel pressure, check vacuum hoses, check security light"
"Vibration","Vibration in gas pedal","Engine vibration transmitting through linkage/mounts","Check motor mounts, exhaust system contact"
"Leaking Fluid","Dark fluid dripping from axle area","Differential fluid leak/CV boot grease leak","Identify fluid (gear oil vs grease), check seals/boots"
"Warning Light","Maintenance Required light","Routine service interval reminder","Perform scheduled maintenance, reset light"
"Strange Noise","Hissing noise from engine bay","Vacuum leak/coolant leak (steam)","Listen for source, check vacuum hoses, inspect cooling system"
"Poor Fuel Economy","Constant high idle speed","Vacuum leak/faulty IAC valve/throttle issue","Check for vacuum leaks, test IAC valve, check throttle linkage"
"AC/Heat Issues","Airflow weak from vents","Clogged cabin air filter/blower motor issue","Replace cabin air filter, check blower motor speed"
"Electrical Issues","Rear window defroster not working","Broken grid line/faulty relay/switch","Inspect grid lines, test relay and switch"
"Transmission Issues","Feels like starting in wrong gear (automatic)","Limp mode/solenoid fault","Scan TCM for codes, check fluid level"
"Brake Issues","Brake dust excessively accumulates on one wheel","Sticking brake caliper on that wheel","Inspect caliper for free movement"
"Unusual Smell","Ammonia smell (often coolant related)","Small coolant leak burning off","Carefully inspect cooling system for minor leaks"
"Loss of Power","Engine idles fine but lacks power under load","Clogged catalytic converter/fuel filter","Check exhaust backpressure, replace fuel filter"
"Car Won’t Start","No power anywhere, no lights","Dead battery/main fuse blown/bad connection","Check battery connections, test battery, check main fuses"
"Vibration","Vibration only when AC is on","AC compressor imbalance/engine struggling with load","Check compressor mounting, check engine idle speed/performance"
"Leaking Fluid","Clear, odorless fluid under car","AC condensation (normal) or water leak (rain/wash)","Monitor fluid, check cabin carpets for dampness"
"Warning Light","Seatbelt warning light stays on","Faulty seatbelt buckle switch/sensor","Check buckle mechanism, scan SRS system"
"Strange Noise","Rattling noise seems to follow engine RPM","Loose heat shield/exhaust component","Check exhaust system heat shields and mounts"
"Overheating","Radiator fins blocked/damaged","Restricted airflow through radiator","Clean radiator fins carefully, straighten if possible"
"Steering Issues","Steering wheel requires constant correction","Wheel alignment issue/worn steering components","Get alignment, inspect tie rods/ball joints"
"Electrical Issues","Intermittent starting problem","Loose/corroded battery terminal/starter connection","Clean and tighten battery and starter connections"
"Transmission Issues","Delayed/harsh downshift","Faulty sensor/solenoid/low fluid","Scan TCM for codes, check fluid level/condition"
"Brake Issues","Requires increased pedal effort to stop","Failing brake booster/vacuum leak","Check booster function, check vacuum supply"
"Unusual Smell","Metallic smell after hard driving","Hot brakes (normal) or dragging brake","Allow brakes to cool, check for dragging caliper if persists"
"Loss of Power","Feels like transmission is slipping","Worn clutches (auto)/worn clutch (manual)/low fluid","Check fluid, requires transmission diagnosis"
"Car Won’t Start","Clicking from fuse box area, no crank","Faulty starter relay","Test or swap starter relay"
"Vibration","Booming or drumming noise at highway speeds","Aerodynamic issue/loose body panel/roof rack noise","Check for loose trim, roof rack setup"
"Leaking Fluid","Coolant leak from water pump weep hole","Water pump seal failure imminent","Replace water pump assembly"
"Warning Light","Low oil pressure at idle, okay when driving","Low oil level/worn engine bearings/oil pressure sensor","Check oil level immediately, diagnose pressure issue"
"Strange Noise","Grinding noise when turning sharply at low speed","Differential issue (limited slip clutch chatter/binding)","Check differential fluid type/level, consider additive"
"Poor Fuel Economy","White smoke from exhaust (sweet smell)","Head gasket failure (coolant burning)","Stop driving, check oil/coolant for mixing, requires repair"
"AC/Heat Issues","Clicking noise behind dashboard when changing modes","Stripped blend door actuator gear","Replace faulty blend door actuator"
"Electrical Issues","One turn signal blinks fast","Bulb out on that side/wrong bulb type/bad connection","Check bulbs (front/rear), check connections"
"Transmission Issues","Car rolls slightly when put in Park","Parking pawl not fully engaged/needs adjustment","Engage parking brake always, check linkage adjustment"
"Brake Issues","Chirping noise follows wheel rotation","Bent brake dust shield touching rotor","Gently bend dust shield away from rotor"
"Unusual Smell","Burnt plastic smell","Electrical short/component overheating/object touching exhaust","Inspect wiring, check exhaust path for foreign objects"
"Loss of Power","Engine sputters or cuts out in rain","Water getting into ignition system/air intake","Check spark plug wire seals, distributor cap seal, air intake path"
"Car Won’t Start","Engine turns over, tries to start, but won't catch","Weak spark/fuel delivery issue","Check spark quality, listen for fuel pump prime"
"Vibration","Vibration worsens under heavy load/acceleration","Engine misfire under load/worn engine mount","Scan for misfire codes, check mounts"
"Leaking Fluid","Oil drops forming on garage floor after driving","Slow oil leak (gasket, seal)","Clean engine underside, monitor to pinpoint leak source"
"Warning Light Door open","Warning Light indicating a door is open","Door not fully closed/faulty door sensor","Check all doors, inspect door sensors/switches"
"Strange Noise","Metallic 'clink' when hitting bumps","Worn sway bar end link","Inspect sway bar links for looseness"
"Overheating","Engine runs hot, but heater blows cold","Low coolant level/air lock/water pump failure","Check coolant level, bleed system, check water pump"
"Steering Issues","Steering feels 'notchy' or binds in spots","Binding universal joint in steering shaft/worn gear","Inspect steering shaft U-joints, check steering gear"
"Electrical Issues","Power mirrors not adjusting","Faulty mirror switch/motor/wiring","Test switch, check power at mirror connector"
